run_id,A,B,K,iteration,violation
full_benders_A10_B005_K02_top003,10,5,2,0,53631.87490599591
full_benders_A10_B005_K02_top003,10,5,2,1,42043.43667399994
full_benders_A10_B005_K02_top003,10,5,2,2,31640.47813600104
full_benders_A10_B005_K02_top003,10,5,2,4,31212.265695999027
full_benders_A10_B005_K02_top003,10,5,2,9,15795.59992799908
full_benders_A10_B005_K02_top003,10,5,2,19,11074.080344240647
full_benders_A10_B005_K02_top003,10,5,2,30,92.87930249865167
full_benders_A10_B010_K01_top003,10,10,1,0,33393.04866599897
full_benders_A10_B010_K01_top003,10,10,1,1,26808.00810000577
full_benders_A10_B010_K01_top003,10,10,1,2,20464.573594000685
full_benders_A10_B010_K01_top003,10,10,1,4,10243.594072000786
full_benders_A10_B010_K01_top003,10,10,1,9,1383.3472680000268
full_benders_A10_B010_K01_top003,10,10,1,13,67.37313800000265
full_benders_A10_B010_K02_top003,10,10,2,0,53857.62225999747
full_benders_A10_B010_K02_top003,10,10,2,1,42396.514890997205
full_benders_A10_B010_K02_top003,10,10,2,2,41150.52932899856
full_benders_A10_B010_K02_top003,10,10,2,4,32183.23991703044
full_benders_A10_B010_K02_top003,10,10,2,9,25880.14911778597
full_benders_A10_B010_K02_top003,10,10,2,19,10806.581051345507
full_benders_A10_B010_K02_top003,10,10,2,48,33.14022600073076
full_benders_A10_B010_K03_top003,10,10,3,0,60604.62179199746
full_benders_A10_B010_K03_top003,10,10,3,1,57523.279644004884
full_benders_A10_B010_K03_top003,10,10,3,2,54008.46693799499
full_benders_A10_B010_K03_top003,10,10,3,4,55896.32714858232
full_benders_A10_B010_K03_top003,10,10,3,9,47617.67869467975
full_benders_A10_B010_K03_top003,10,10,3,19,25931.00444264512
full_benders_A10_B010_K03_top003,10,10,3,49,20106.626212514006
full_benders_A10_B010_K03_top003,10,10,3,99,811.5601386756753
full_benders_A10_B010_K05_top003,10,10,5,0,84734.85277001024
full_benders_A10_B010_K05_top003,10,10,5,1,91170.82973506302
full_benders_A10_B010_K05_top003,10,10,5,2,89031.41130400542
full_benders_A10_B010_K05_top003,10,10,5,4,90648.20177499205
full_benders_A10_B010_K05_top003,10,10,5,9,56462.500772014144
full_benders_A10_B010_K05_top003,10,10,5,19,61036.05215896899
full_benders_A10_B010_K05_top003,10,10,5,49,46273.65614153503
full_benders_A10_B010_K05_top003,10,10,5,99,36744.81264199689
full_benders_A10_B010_K07_top003,10,10,7,0,106360.69029300916
full_benders_A10_B010_K07_top003,10,10,7,1,103250.17256400688
full_benders_A10_B010_K07_top003,10,10,7,2,85376.9585209894
full_benders_A10_B010_K07_top003,10,10,7,4,134173.6716180127
full_benders_A10_B010_K07_top003,10,10,7,9,70407.16174999648
full_benders_A10_B010_K07_top003,10,10,7,19,56719.32598600886
full_benders_A10_B010_K07_top003,10,10,7,49,72512.17882067198
full_benders_A10_B010_K07_top003,10,10,7,99,67772.68470952567
full_benders_A10_B020_K02_top003,10,20,2,0,53639.89566300146
full_benders_A10_B020_K02_top003,10,20,2,1,49361.96148450137
full_benders_A10_B020_K02_top003,10,20,2,2,41007.13364199872
full_benders_A10_B020_K02_top003,10,20,2,4,31460.151308999346
full_benders_A10_B020_K02_top003,10,20,2,9,23518.205634998827
full_benders_A10_B020_K02_top003,10,20,2,19,24212.155557963357
full_benders_A10_B020_K02_top003,10,20,2,49,9088.309449345208
full_benders_A10_B020_K02_top003,10,20,2,74,68.72124008608625
full_benders_A10_B050_K02_top003,10,50,2,0,53299.507593205606
full_benders_A10_B050_K02_top003,10,50,2,1,49192.05661878524
full_benders_A10_B050_K02_top003,10,50,2,2,40854.580313318904
full_benders_A10_B050_K02_top003,10,50,2,4,28166.471451198566
full_benders_A10_B050_K02_top003,10,50,2,9,13966.810031006018
full_benders_A10_B050_K02_top003,10,50,2,19,14722.035882786091
full_benders_A10_B050_K02_top003,10,50,2,46,74.06617260000758
full_benders_A10_B100_K02_top003,10,100,2,0,53670.71492049047
full_benders_A10_B100_K02_top003,10,100,2,1,40610.86600328915
full_benders_A10_B100_K02_top003,10,100,2,2,30002.064973400782
full_benders_A10_B100_K02_top003,10,100,2,4,25366.93339088869
full_benders_A10_B100_K02_top003,10,100,2,9,16787.21011523116
full_benders_A10_B100_K02_top003,10,100,2,19,17738.213314243665
full_benders_A10_B100_K02_top003,10,100,2,39,68.27164079785416
full_benders_completion_A10_B010_K07_top003_max300,10,10,7,0,106360.69029300916
full_benders_completion_A10_B010_K07_top003_max300,10,10,7,1,103250.17256400688
full_benders_completion_A10_B010_K07_top003_max300,10,10,7,2,85376.9585209894
full_benders_completion_A10_B010_K07_top003_max300,10,10,7,4,134173.6716180127
full_benders_completion_A10_B010_K07_top003_max300,10,10,7,9,70407.16174999648
full_benders_completion_A10_B010_K07_top003_max300,10,10,7,19,56719.32598600886
full_benders_completion_A10_B010_K07_top003_max300,10,10,7,49,72512.17882067198
full_benders_completion_A10_B010_K07_top003_max300,10,10,7,99,67772.68470952567
full_benders_completion_A10_B010_K07_top003_max300,10,10,7,149,75076.99775533145
full_benders_completion_A10_B010_K07_top003_max300,10,10,7,199,46847.309944328386
full_benders_completion_A10_B010_K07_top003_max300,10,10,7,249,18033.777760821256
full_benders_completion_A10_B010_K07_top003_max300,10,10,7,299,18833.512920595706
